ID,X,Y,LABEL
1,1231569.43843427,5781498.86921619,0
2,1231541.55290182,5781371.87100375,0
3,1231879.10699376,5781535.53940703,0
4,1231599.28318975,5781672.87767148,0
5,1231634.19298206,5781679.46496111,0
6,1231462.87228573,5781463.40120825,0
7,1231446.10757042,5781406.2968917,0
8,1231549.45658567,5781437.27709974,0
9,1231638.12256009,5781744.21619516,0
10,1231685.01032961,5781618.400493,0
11,1231692.64684668,5781420.33653801,0
12,1231535.89787169,5781440.85112968,0
13,1231632.44526606,5781450.5314691,0
14,1231319.39259405,5781516.46704234,0
15,1231440.19650546,5781405.07884124,0
16,1231550.55864863,5781442.35767187,0
17,1231635.32844087,5781717.30590952,0
18,1231453.38786512,5781955.36620292,0
19,1231562.21379932,5782031.01856044,0
20,1231562.77039677,5782039.06467543,0
21,1231449.63639828,5781973.59002747,0
22,1231527.44872234,5781967.94817101,0
23,1231576.87457625,5781999.01048208,0
24,1231871.12538627,5781623.99404489,0
25,1231835.26937828,5781466.18992131,0
26,1232104.59575431,5781588.74991871,0
27,1231562.23606321,5781756.99019497,0
28,1231591.86931166,5782019.54244094,0
29,1231457.90743644,5782044.17764871,0
30,1231595.43153537,5781961.40875097,0
31,1231649.29903697,5781945.8455918,0
32,1231525.13327693,5781658.42091187,0
33,1231546.41756357,5781780.47068175,0
34,1231624.46365857,5781972.5001231,0
35,1231600.57449584,5782001.623055,0
36,1231629.4841676,5781950.20519697,0
37,1231543.17816639,5781707.60925128,0
38,1231913.94999438,5781691.53365774,0
39,1232019.38068411,5781680.15414255,0
40,1232062.18302832,5781691.80612518,0
41,1231531.26698088,5782039.65771606,0
42,1232082.07582132,5781727.21093667,0
43,1231842.67212442,5781680.84332404,0
44,1231838.00783776,5781637.232666,0
45,1231652.02636449,5781425.12861416,0
46,1231612.53020916,5781987.47029188,0
47,1231619.36522589,5781961.87356253,0
48,1231650.23412069,5782003.96315164,0
49,1231870.05671916,5781637.2166386,0
50,1231608.70081867,5781944.89994243,0
51,1231545.02606994,5782117.33035423,0
52,1231715.66771737,5781998.8341735,0
53,1231639.70329686,5781861.13824773,0
54,1231650.1228012,5781861.79538769,0
55,1231600.20714152,5781968.41298292,0
56,1231554.20992793,5781988.03127301,0
57,1231443.9479723,5781828.20117355,0
58,1231484.75769762,5781771.65547464,0
59,1231317.62261415,5781681.53250558,0
60,1231460.8685349,5781837.8178249,0
61,1231612.40775772,5781959.00455364,0
62,1231594.04004174,5781973.8945596,1
63,1231927.6311598,5781636.76787146,0
64,1231536.43220525,5782011.67265249,0
65,1231456.43801917,5782061.96889533,0
66,1231614.92357821,5781978.9113272,0
