x,y
0,6.317077354209669
1,6.939966232998427
2,6.985222415526112
3,6.985222415526112
4,7.035888170093328
5,7.618916689494792
6,8.041339303067396
7,8.041339303067396
8,8.251109173722025
9,8.25537030843402
10,8.784284599252361
11,8.788893155188738
12,9.023513782088338
13,9.077124517102646
14,9.08327584070959
15,9.469343957268261
16,9.482420462600563
17,9.558403663539162
18,9.579240154770591
19,9.654969542296211
20,9.874850203174512
21,9.936736069313056
22,10.02207423635442
23,10.02207423635442
24,10.05399498235336
25,10.095927051220443
26,10.261051903460523
27,10.63112013402246
28,10.681143440693276
29,10.8019579073051
30,10.942752902706625
31,10.972535977685157
32,11.112605194023724
33,11.201505990571702
34,11.267447133774569
35,11.31529560182987
36,11.41338775981285
37,11.41338775981285
38,11.43431586243046
39,11.598303317695054
40,11.598303317695054
41,11.622048875811776
42,11.622048875811776
43,11.64494015488817
44,11.64494015488817
45,11.726599499588488
46,11.73570125482768
47,12.019870977254374
48,12.036030907672675
49,12.269856757360387
50,12.288031778733433
51,12.301254551855894
52,12.314106177163973
53,12.435854900119582
54,12.513027064623726
55,12.534852927056457
56,12.60419040498501
57,12.610241355066332
58,12.624480448341352
59,12.63645121011494
60,12.67251431860159
61,12.701805719051357
62,12.721293577746067
63,12.74639953075125
64,12.840473403737944
65,12.85679006089538
66,12.864472099689895
67,12.874501061925178
68,12.905316833551563
69,12.940599748074064
70,12.98936074532139
71,13.058062347650448
72,13.134834168240248
73,13.206733271980655
74,13.281262173742897
75,13.38984173003153
76,13.400440454663203
77,13.559904406259658
78,13.56339487505651
79,13.608695105693739
80,13.680100802226967
81,13.745997630833719
82,13.754123266894863
83,13.76049036373844
84,13.76049036373844
85,13.909473704857524
86,13.960559979664648
87,14.001220740572975
88,14.046021864310523
89,14.237138061930548
90,14.237138061930548
91,14.238645427145187
92,14.265365386212274
93,14.265365386212274
94,14.321751945196842
95,14.330627815129043
96,14.398741732440758
97,14.51038080853483
98,14.597514086153003
99,14.717807086836993
100,14.74822235725938
101,14.751525712591045
102,14.75443141850455
103,14.795537262015763
104,14.858572464585356
105,14.858572464585356
106,14.937194375757405
107,14.941182242783547
108,15.06991187828427
109,15.075595294538878
110,15.103623801631606
111,15.103623801631606
112,15.116085652653572
113,15.156957979757646
114,15.233667735890025
115,15.258050353725405
116,15.258050353725405
117,15.272231102478152
118,15.291012487894571
119,15.313206174236964
120,15.313206174236964
121,15.392438963304473
122,15.396595702306028
123,15.427938746230065
124,15.427938746230065
125,15.442131514511798
126,15.496144885831864
127,15.518938762760126
128,15.576715588022886
129,15.578444762790538
130,15.617442914040357
131,15.679593925166577
132,15.696863267185195
133,15.828212323716567
134,15.83623799520951
135,15.84255595076967
136,15.87467953171983
137,16.008246879255484
138,16.035985105406738
139,16.035985105406738
140,16.05334780611336
141,16.202581902324518
142,16.33731867419006
143,16.35054732224963
144,16.597858906442006
145,16.602576538676093
146,16.636351490887407
147,16.659975572047514
148,16.696621995137583
149,16.961033077377504
150,16.96580401043669
151,17.009017434869676
152,17.09586663585807
153,17.10441172613965
154,17.1230322715394
155,17.125477931344022
156,17.139355385170262
157,17.139720605787886
158,17.144895769295307
159,17.185741945303587
160,17.325258017450206
